MeshName,EnergyPrimalIntegrability,CalculatedValue
metabiaugmented-truncated-dodecahedron,2.3615518010718657e-05,2.218893380274643e-05
parabidiminished-rhombicosidodecahedron,1.4972368284255463e-05,1.9395211754170987e-05
pentagonal-orthobicupola,9.643839113885344e-06,1.172095247294634e-05
snub-square-antiprism,2.3679999816162256e-05,1.9969541774686838e-05
tetrahedron,6.071498128407388e-06,1.3688193058855227e-05
triaugmented-dodecahedron,3.524906894178281e-05,4.030986735771008e-05
triaugmented-hexagonal-prism,2.7033207026681904e-05,2.6473417250170022e-05
tridiminished-rhombicosidodecahedron,2.8926989904232177e-05,3.9034037575501446e-05
elongated-pentagonal-gyrobirotunda,2.5318876415522234e-05,1.7974892999597392e-05
elongated-triangular-orthobicupola,2.4701868020313914e-05,2.9810093055402157e-05
hebesphenomegacorona,2.4065036155555896e-05,2.0664701967934142e-05
octagonal-antiprism,3.651851394879275e-06,8.963567030999842e-06
pentagonal-orthobirotunda,3.596939233438247e-05,2.1809760446846214e-05
pentagonal-rotunda,1.1943590908142024e-05,1.4168186236554324e-05
triangular-bipyramid,5.871538831018272e-06,1.2765705279635374e-05
truncated-icosahedron,2.855927404504921e-05,2.078813926895488e-05
gyrate-rhombicosidodecahedron,2.40762074853233e-05,2.0144986562779813e-05
gyroelongated-pentagonal-rotunda,2.374570707284831e-05,2.468416258866292e-05
square-orthobicupola,1.5964999776773727e-05,1.6320877125634707e-05
