MeshName,EnergyPrimalIntegrability,CalculatedValue
i01u_m1,0.005645133601861769,0.5808934302040023
i02u_m2,0.0003148390167092924,0.014679271994104143
i03u_m3,0.0018401236857060925,0.08864836829607654
i04u_m4,0.001664077615554834,0.03642553595253547
i05u_m5,0.0015273025181902662,0.052913290805528125
i06u_m6,0.00020129303316646666,0.015010744010795296
i07u_m7,0.00343397795089492,0.08184135413092429
i08u_m8,0.0004570817960066341,0.060019568588035914
i09u_m9,0.0004108772662449036,0.013327116581870475
i10u_simp,0.0003489851145601325,0.014378678044228398
i11u_s1,0.0006539586503631205,0.022365758625710046
i12u_s5,0.00043664194185656944,0.03120191808939342
i13u_s6,0.0029092275842704193,0.10617466671724282
i14u_s7,0.0008415335967169399,0.04112903580800899
i15u_s8,0.0002295219229890476,0.021355443575154093
i16u_s9,0.00013327268637053355,0.0163450580828585
i17u_s20,0.0031035053412146927,0.2658960680359155
i18u_s22,0.0002710678706608321,0.017458757339685008
i19u_s24,0.0010311075004020575,0.03250951563745136
i20u_s25,6.447637452207474e-05,0.011312131223262897
i21u_s26,0.0002364093620227764,0.01489189739581095
i22u_s27,0.000268492127235415,0.022975808091479318
i23u_s31,0.0026585748291071336,0.4712686861163718
i24u_s34,0.000799097199624951,0.028592463941928773
i25u_s40,0.00012915152149648186,0.011150737349384784
i27u_gc_turbo_vol2,0.0007159411113690587,0.0356453502962708
i28u_gc_tire_1218,0.0010491862081438252,0.05030130867213769
i29u_bracket,0.010533346389943387,0.5499140120140571
i30u_9858_screw,0.0004937100256654591,0.017274225850211454
i31u_dlr_f6,0.0006852093445524142,0.025039920404107407
