MeshName,EnergyPrimalIntegrability,CalculatedValue
augmented-dodecahedron,8.786488845750636e-05,0.004833606513652016
augmented-hexagonal-prism,1.8384557422099868e-05,0.0019536242744868262
augmented-pentagonal-prism,1.8292512009067577e-05,0.0017736879892103622
augmented-sphenocorona,7.183724713372413e-05,0.004252111790557179
augmented-triangular-prism,1.650450655205242e-05,0.001989807278386564
augmented-tridiminished-icosahedron,3.31939363758919e-05,0.002274974345550254
augmented-truncated-cube,0.00021108994473245906,0.004581287163413637
augmented-truncated-dodecahedron,0.00016260772571197025,0.004881594631671874
augmented-truncated-tetrahedron,7.021371306006817e-05,0.0033242171685290475
biaugmented-triangular-prism,2.7163282741301692e-05,0.002749390819551447
biaugmented-truncated-cube,0.0001376267340225742,0.004013482333094945
bigyrate-diminished-rhombicosidodecahedron,8.468672456804582e-05,0.0034021082738718345
bilunabirotunda,2.6404700316270554e-05,0.0019130920863154781
decagonal-prism,1.2833427237868126e-05,0.0008959538320320006
dodecahedron,5.913304056603028e-05,0.00460610121955701
elongated-pentagonal-bipyramid,0.0001001817602287981,0.00485789635709557
elongated-pentagonal-cupola,4.298318671227125e-05,0.002361323827814486
elongated-pentagonal-gyrobicupola,6.514276283973537e-05,0.0037716883530403244
elongated-pentagonal-gyrobirotunda,0.000159011851376234,0.004222204326504806
elongated-pentagonal-gyrocupolarotunda,9.214045423056952e-05,0.0038062223180403295
elongated-pentagonal-orthobicupola,6.0433785545065854e-05,0.0037064035928049146
elongated-pentagonal-pyramid,4.685629097220525e-05,0.0030092845950803184
elongated-pentagonal-rotunda,7.625871124322603e-05,0.002925948159881918
elongated-square-cupola,8.186347458489384e-05,0.0032652457883744113
elongated-square-gyrobicupola,0.00018601463136172532,0.00641041235798377
elongated-square-pyramid,3.83153294536001e-05,0.001707479630696803
elongated-triangular-bipyramid,3.7113215286634875e-05,0.001075973254010373
elongated-triangular-gyrobicupola,0.00010168990318374221,0.0044036202698257585
elongated-triangular-orthobicupola,9.336646551382362e-05,0.003927310980864654
elongated-triangular-pyramid,2.0170943420627862e-05,0.001380390838150914
gyrate-bidiminished-rhombicosidodecahedron,7.391475712545671e-05,0.0036780935777740785
gyrobifastigium,1.7262352575618002e-05,0.0018453513429000754
gyroelongated-pentagonal-bicupola,6.530291051540646e-05,0.0037338538806831493
gyroelongated-pentagonal-cupolarotunda,8.319231917560603e-05,0.0039307571972830605
gyroelongated-pentagonal-pyramid,0.00013706344128969257,0.003926671432501397
gyroelongated-pentagonal-rotunda,8.334689506076487e-05,0.0031225270879979127
gyroelongated-square-bicupola,0.00017589082234216122,0.004254765673317468
gyroelongated-square-bipyramid,7.768070106168013e-05,0.0033402455703191937
gyroelongated-square-cupola,8.504299950329234e-05,0.003291300761025311
gyroelongated-square-pyramid,0.00013194920859076794,0.005138176687634259
gyroelongated-triangular-cupola,9.839439508437634e-05,0.004220958471277455
biaugmented-pentagonal-prism,2.3820060085249834e-05,0.0017474264477319596
cube,1.8174340075773096e-07,0.0005098659586031879
cuboctahedron,0.00016675503516128628,0.005404729035145281
decagonal-antiprism,8.608242415574743e-06,0.0010218639209359183
diminished-rhombicosidodecahedron,6.288438837968569e-05,0.003120646129212351
disphenocingulum,0.00013324636338592848,0.004547234231791012
